trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",20,0,-52.32632620342759,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",25,5,-21.071499247705347,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",20,0,-75.72806783285908,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",30,16,-16.13170093752364,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",30,0,-157.2428602416846,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",20,3,9.593595465761005,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",25,0,-118.98796306851997,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",30,3,0.8929981832447154,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",30,11,-124.30545377903292,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 3}",1
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",25,16,12.924363108261508,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",30,0,-76.06466370469785,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",20,0,-43.066979642915356,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",20,8,-3.7220827456397236,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",25,0,-4.357561037751966,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,12,-3.8777988145666775,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",20,0,4.471317774738151,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",25,0,-41.95555255064499,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
